loan_id,customer_id,lender_type,principal,interest_rate,monthly_payment,loan_start_date,loan_status
5000,1001,bank,6600.0,0.05,1155.0,2023-04-29,active
5001,1001,bank,5600.0,0.05,245.0,2023-09-03,active
5002,1001,credit_card,9500.0,0.15,455.21,2024-02-09,active
5003,1003,credit_card,3300.0,0.15,632.5,2023-06-09,active
5004,1003,finance_company,5200.0,0.15,498.33,2023-07-09,active
5005,1003,credit_card,4500.0,0.15,862.5,2023-12-23,active
5006,1004,finance_company,4600.0,0.15,881.67,2023-03-27,active
5007,1005,credit_card,14800.0,0.15,1418.33,2023-06-28,active
5008,1005,bank,17900.0,0.05,1566.25,2023-11-06,active
5009,1005,credit_card,11400.0,0.15,546.25,2024-01-23,active
5010,1005,finance_company,11100.0,0.25,1156.25,2024-04-18,active
5011,1005,finance_company,9900.0,0.25,515.62,2024-09-06,active
5012,1006,credit_card,5900.0,0.15,1130.83,2023-05-19,active
5013,1006,bank,2600.0,0.05,113.75,2023-08-16,active
5014,1006,bank,3800.0,0.05,332.5,2023-10-21,active
5015,1006,finance_company,3800.0,0.25,197.92,2023-12-31,active
5016,1008,credit_card,3900.0,0.15,747.5,2023-03-20,active
5017,1009,credit_card,5000.0,0.15,958.33,2023-02-05,active
5018,1009,bank,4700.0,0.05,205.62,2023-06-13,active
5019,1009,credit_card,7900.0,0.15,378.54,2023-10-31,active
5020,1009,finance_company,9400.0,0.25,1958.33,2024-04-10,active
5021,1011,bank,1300.0,0.05,113.75,2023-03-27,active
5022,1012,credit_card,2400.0,0.15,230.0,2023-05-26,active
5023,1014,finance_company,15800.0,0.15,757.08,2023-03-30,active
5024,1014,finance_company,16300.0,0.15,3124.17,2023-09-12,active
5025,1014,bank,18600.0,0.05,813.75,2023-10-20,active
5026,1014,finance_company,15400.0,0.25,1604.17,2024-04-02,active
5027,1015,credit_card,4000.0,0.15,191.67,2023-05-27,active
5028,1016,credit_card,3900.0,0.15,186.88,2023-04-10,active
5029,1017,credit_card,2800.0,0.15,536.67,2023-03-12,active
5030,1017,finance_company,2100.0,0.15,100.62,2023-05-14,active
5031,1018,finance_company,2400.0,0.15,460.0,2023-02-26,active
5032,1020,finance_company,6400.0,0.15,613.33,2023-05-25,active
5033,1020,finance_company,10500.0,0.15,2012.5,2023-08-16,active
5034,1020,credit_card,6900.0,0.15,330.62,2023-09-20,active
5035,1020,finance_company,16200.0,0.25,3375.0,2024-02-19,active
5036,1020,finance_company,6700.0,0.25,697.92,2024-05-05,active
5037,1023,finance_company,2100.0,0.15,201.25,2023-02-19,active
5038,1024,bank,13000.0,0.05,568.75,2023-06-06,active
